starname,tic_id,mass,mass_mc_err,mass_observed,mass_resid,age_log10yr,age_gyr,age_gyr_mc_err,age_observed,age_resid,feh,feh_mc_err,feh_observed,feh_resid,AV,AV_mc_err,distance_pc,distance_pc_mc_err,chi2,dof,red_chi2,success,message,bands_used,used_teff_initial,used_feh_initial,used_age_initial,BP_mag_obs,BP_mag_model,BP_mag_resid,G_mag_obs,G_mag_model,G_mag_resid,RP_mag_obs,RP_mag_model,RP_mag_resid,J_mag_obs,J_mag_model,J_mag_resid,H_mag_obs,H_mag_model,H_mag_resid,K_mag_obs,K_mag_model,K_mag_resid
K2-45,38087018,0.8077241437359424,0.01224382085731156,0.503,0.30472414373594237,9.875191731686813,7.5022534461026,0.5344169776120558,nan,nan,0.499999999033852,2.2251290078364102e-14,nan,nan,0.3055443274988634,0.09111971920296574,520.7469889633322,10.979961439932792,1.9457953190530954,2,0.9728976595265477,True,`xtol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,False,False,16.0098379135,16.008641575617627,-0.0011963378823729443,15.330882973828,15.327054866011391,-0.0038281078166093607,14.510182063353,14.54560566350603,0.03542360015303103,13.536,13.535587968156968,-0.00041203184303206797,12.92,12.90065140959454,-0.019348590405460442,12.756,12.778097851769422,0.022097851769421695
K2-164,173090902,1.1411579346947962,0.020262854253453505,1.180894,-0.039736065305203905,9.699546717046271,5.006644060895681,0.006446084142493798,nan,nan,-0.21679907496338102,0.0920293215919628,-0.23,0.013200925036618988,0.20849678410909214,0.05160175169269492,382.0941680494934,12.893313876141036,3.8996750414157995,3,1.2998916804719332,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,11.385456312,11.382524952802825,-0.002931359197175354,11.09385227,11.096373883548553,0.002521613548553958,10.6376491372,10.642680478815064,0.005031341615064022,10.153,10.13172684868293,-0.02127315131706986,9.865,9.836896666538129,-0.028103333461871216,9.775,9.799128807727474,0.0241288077274735
K2-18,388804061,0.46147900623618854,0.0033544197248795843,0.359,0.10247900623618855,9.711693078840806,5.148646549047381,1.066509416570203,nan,nan,0.27449956866673003,0.02661998708507815,0.12,0.15449956866673004,8.937080980788445e-20,0.05809228431029764,38.08859601136998,0.14545495917544515,13.99743107354223,3,4.66581035784741,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,13.71137062706,13.639125677701713,-0.07224494935828751,12.40076333334,12.399826153797997,-0.0009371795420030082,11.26974346326,11.33809042500712,0.06834696174712107,9.763,9.77466682761525,0.011666827615250952,9.135,9.094707601746938,-0.040292398253061634,8.899,8.902260677338703,0.0032606773387033883
K2-12,396972464,0.9476230385425726,0.019764810691878177,0.965,-0.017376961457427398,9.949339187474678,8.898958623301766,0.017145223701231477,8.9,-0.001041376698234231,-0.013683639509987036,0.09775372346549384,0.0,-0.013683639509987036,0.10851449147018967,0.06392207421819729,321.19336167581497,10.058094472901036,6.311427682863752,3,2.1038092276212508,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,12.4219807495,12.416827462983687,-0.0051532865163128605,12.0799045755,12.080356375117267,0.00045179961726660167,11.5722110702,11.575624451841264,0.003413381641264479,10.983,11.01296802949468,0.029968029494678916,10.712,10.665945526974706,-0.04605447302529342,10.605,10.622018206085917,0.017018206085916532
K2-4,49462779,0.6489949247059165,0.015158945333882939,0.635026,0.013968924705916486,9.795768804157275,6.248399718494105,0.31180233585883516,nan,nan,-0.12708671790329892,0.1150322807955248,-0.12,-0.007086717903298928,0.41755060622264917,0.232327730968823,234.1798105816317,6.658711039551865,15.441324249946561,3,5.14710808331552,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,15.12105567961,15.05092677081332,-0.07012890879668099,14.32551862742,14.324466258986872,-0.001052368433127171,13.456241375359,13.512002222210782,0.05576084685178273,12.367,12.40989364759498,0.04289364759497971,11.747,11.692782852335037,-0.05421714766496244,11.571,11.564626040812957,-0.006373959187042644
K2-16,281886199,0.6868281413694723,0.01833257035139625,0.68,0.006828141369472296,9.698768152923078,4.997676639695403,0.1761342487464897,nan,nan,-0.33371484932443907,0.0943676121240315,-0.33,-0.0037148493244390512,0.24380126606499283,0.16051708752744523,334.15536067093404,10.105811757599028,1.921281727374516,3,0.640427242458172,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,14.87061123651,14.849568802582377,-0.021042433927622284,14.31122462266,14.312698330322045,0.0014737076620452427,13.606555814243,13.630867993996498,0.02431217975349753,12.764,12.757869069090376,-0.0061309309096238,12.207,12.184802621364234,-0.02219737863576654,12.087,12.09845403593101,0.011454035931009798
WASP-85 A,380619414,1.0662037222845842,0.018197745550983094,1.09,-0.023796277715415926,9.700190266218534,5.014068539432845,0.0481593162418009,nan,nan,0.12034999786087566,0.10124821393077577,0.118,0.002349997860875669,0.7543171823884957,0.07618368869082534,140.9964256962611,1.9970834026329731,10.451716742789479,3,3.4839055809298265,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,10.8644837403,11.093357464198597,0.22887372389859628,10.6401063668,10.633298698059583,-0.006807668740416162,9.9741938282,10.010934163299034,0.03674033509903296,9.275,9.250298928436099,-0.024701071563901777,8.925,8.862238315016954,-0.06276168498304635,8.733,8.777642598980812,0.04464259898081124
K2-48,397022282,0.7407752162830774,0.01885170990055761,0.77,-0.02922478371692261,9.701740616229953,5.031999812212841,0.16576043009008182,nan,nan,-0.2084021424969788,0.09353590464323289,-0.19,-0.0184021424969788,0.31644592523023773,0.14560604643214084,321.04266551022533,9.404247357007202,1.3045756642488944,3,0.4348585547496315,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,14.49303851709,14.471003107358316,-0.02203540973168394,13.95261919417,13.952515238215712,-0.00010395595428747129,13.26589484254,13.28457431815256,0.01867947561255967,12.43,12.438799098695588,0.00879909869558837,11.903,11.903065121968522,6.51219685217086e-05,11.838,11.819024400927821,-0.01897559907217783
K2-9,82050863,0.3106683927628223,0.0049368919732242205,0.3,0.010668392762822332,9.119011605212592,1.3152599780859953,0.5789909201451404,1.0,0.31525997808599526,-0.25241384425524055,0.07404682747608812,-0.25,-0.0024138442552405492,0.2728689152761592,0.11973335033396998,82.95910862374306,0.6911178632697331,16.569913007369813,3,5.523304335789938,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,16.081295551978,15.947755451182728,-0.1335401007952708,14.84519428958,14.847782907071277,0.0025886174912770343,13.74853790665,13.841964085610435,0.09342617896043492,12.451,12.406491856727651,-0.04450814327234909,11.71,11.719596859886733,0.009596859886732645,11.495,11.497845733393481,0.0028457333934817086
K2-6,446672575,0.907665233772257,0.018747042847468018,0.97,-0.06233476622774292,9.698795040167656,4.99798605627648,0.09892412617660575,nan,nan,-0.1407327159191273,0.08292742277968233,-0.14,-0.0007327159191272969,0.03354026180414495,0.05968540395774113,319.0725750602022,9.464748258117456,0.7396058198476142,3,0.24653527328253808,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,12.82602060075,12.818279093985721,-0.007741506764279649,12.490584145,12.491726152189354,0.0011420071893546435,11.9920082214,11.99659759262346,0.004589371223458372,11.44,11.447722777482447,0.00772277748244754,11.09,11.096122378755082,0.006122378755081925,11.069,11.056570448542464,-0.012429551457536547
K2-17,291090078,0.6416534521407057,0.00898226181849894,0.71,-0.06834654785929428,9.598351545746942,3.9659893691879295,0.5574055871471487,nan,nan,0.024060220176031932,0.04399116444280369,0.15,-0.12593977982396806,3.067221637892331e-20,0.007371435623306965,124.00766490507245,1.5833848698011146,11.631591882207085,3,3.877197294069028,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,13.770940643945,13.732738639005673,-0.03820200493932724,12.99291297251,12.99992403828332,0.007011065773319558,12.13211646754,12.183372803221484,0.0512563356814848,11.076,11.119209527981882,0.04320952798188138,10.436,10.405417191662382,-0.03058280833761806,10.308,10.280346089434026,-0.02765391056597366
